Name,Manga,Anime,Appears in,Japanese,English,Birthdate,Sex,Status,Height,Weight,Blood type,Occupation,Affiliation,Ninja Rank,Novel,Movie,Game,OVA,Age,Team,Partner,Ninja Registration,Family,Nature Type,Jutsu,Tools,Kekkei Genkai,Clan,Species,Classification,Chūnin Prom. Age,Academy Grad. Age,Unique Traits,Tailed Beast,Jinchūriki,Kekkei Mōra,Kekkei Tōta
['Hibiki'],,['Boruto Episode #259'],['Anime'],['Moe Toyota'],,,['Female'],,,,,,,,,,,,,,,,['Family\n\t\nKodama (Brother)'],,,['Tools\n\n\nSword'],,,,,,,,,,,
['Hidan'],['Naruto Chapter #312'],['Naruto Shippūden Episode #71'],"['Anime, Manga, Novel, Game, Movie']",['Masaki Terasoma'],['Chris Edgerly \nWally Wingert  (Naruto Shippūden: Clash of Ninja Revolution 3)'],['April 2'],['Male'],['Incapacitated'],['Part II: 177.1  cm'],['Part II: 56.8  kg'],['B'],,['Yugakure\n Akatsuki'],,['Akatsuki Hiden: Evil Flowers in Full Bloom'],['Road to Ninja: Naruto the Movie'],['Naruto Shippūden: Gekitō Ninja Taisen! EX 3'],['Naruto Shippūden: UNSG anime cutscenes'],['Part II: 22'],,['Kakuzu'],,,,['Jutsu\n\n\nCurse Technique: Death Controlling Possessed Blood'],['Tools\n\n\nRetractable Spear\n\n\nTriple-Bladed Scythe'],,,,['S-rank\nMissing-nin'],,,,,,,
['Hidari'],,['Boruto Episode #40'],['Anime'],['Eiji Takeuchi'],['Billy Kametz'],,['Male'],,,,,,,,,,,,,,['Ashimaru'],,,['Nature Type\n        \n Earth Release'],['Jutsu\n\n\nClone Trap\n\n\nEarth Release: Shadow Clone\n\n\nShadow Clone Technique'],,,,,['Missing-nin\nMercenary Ninja'],,,,,,,
['Hidero'],,,['Movie'],['Kan Tanaka'],['Jamieson Price'],,['Male'],,,,,['Actor'],['Land of Fire'],,,['Naruto the Movie: Ninja Clash in the Land of Snow'],,,,,,,,,,['Tools\n\n\nSword'],,,,,,,,,,,
['Hikaku Uchiha'],['Naruto Chapter #398'],['Naruto Shippūden Episode #140'],"['Anime, Manga']",,,,['Male'],['Deceased'],,,,,,,,,,,['Part II: 25'],,,,,,,,['Sharingan'],['Uchiha Clan'],,,,,,,,,
['Hikaru'],['Naruto Chapter #491'],['Naruto Shippūden Episode #243'],"['Anime, Manga']",['Shinobu Matsumoto'],,,['Male'],,,,,['Ship Captain'],['Kumogakure'],['Part II: Chūnin'],,,,,['Part II: 26'],,,,,,,,,,,,,,,,,,
['Hikaru Tsuki'],,,"['Game, Movie']",['Kyōsuke Ikeda'],['Kari Wahlgren'],,['Male'],,,,,['Land of the Moon Prince'],['Land of the Moon'],,,['Naruto the Movie: Guardians of the Crescent Moon Kingdom'],['Naruto: Path of the Ninja 2  (movie poster)'],,,,,,['Family\n\t\nKakeru Tsuki (Grandfather)\nMichiru Tsuki (Father)\nAmayo (Mother)'],,,['Tools\n\n\nBow & Arrow (Movie only)'],,,,,,,,,,,
['Himatsu'],,,"['Anime, Novel']",['Mie Sonozaki'],['Debi Mae West'],,['Male'],,,,,,['Takigakure'],,['Naruto: Mission: Protect The Waterfall Village! (novel)'],,,['Mission: Protect the Waterfall Village!'],,,,,['Family\n\t\nShizuku  (Sister)'],,,,,,,,,,,,,,
['Himawari Uzumaki'],['Naruto Chapter #700'],['Boruto Episode #1'],"['Anime, Manga, Novel, Game, Movie']",['Saori Hayami \nYūki Kuwahara  (The Last: Naruto the Movie)'],['Melissa Fahn \nStephanie Sheh  (The Last: Naruto the Movie)'],,['Female'],,['Blank Period: 93 cm–102 cm\nBoruto Movie: 123.8 cm–138 cm'],,,,['Konohagakure'],['Boruto Manga: Academy Student'],['The Last: Naruto the Movie'],['The Last: Naruto the Movie'],['Naruto x Boruto: Ninja Voltage'],['The Day Naruto Became Hokage (OVA)'],['Blank Period: 3\nBoruto Movie: 10'],,,,"[""Family\n\t\nMinato Namikaze (Grandfather)\nKushina Uzumaki (Grandmother)\nNaruto Uzumaki (Father)\nHyūga Elder (Great-Grandfather)\nHiashi Hyūga (Grandfather)\nHizashi Hyūga (Granduncle)\nHinata and Hanabi's Mother (Grandmother) (Anime only)\nHinata Hyūga (Mother)\nHanabi Hyūga (Aunt)\nBoruto Uzumaki (Brother)\nNeji Hyūga (First cousin once removed)\nKawaki (Adoptive Brother)\nJaggy (Pet) (Anime only)""]",,['Jutsu\n\n\nGentle Fist'],,['Byakugan'],['Uzumaki Clan\n Hyūga Clan'],,,,,,,,,
['Himeno'],,,['Game'],,,,['Female'],,,,,['Mushroom Collector\nPrincess'],['Konohagakure'],,,,['Naruto Shippūden: Kizuna Drive'],,,,,,,,,,,,,,,,,,,,
['Himeyuri'],,['Naruto Shippūden Episode #485'],['Anime'],['Mariko Higashiuchi'],"[""Colleen O'Shaughnessey""]",,['Female'],['Deceased'],,,,['Businesswoman'],['Himeyuri Company'],,,,,,,,,,,,,,,,,,,,,,,,
['Himuka Suzukaze'],,,['Novel'],,,,['Female'],,,,,,['Konohagakure'],['Part I: Genin'],['Itachi Shinden: Book of Bright Light'],,,,,['Team 2'],,,,,,,,,,,,,,,,,
['Himushi'],,['Naruto Shippūden Episode #286'],['Anime'],['Kunihiro Kawamoto'],['Sean Schemmel'],,['Male'],,,,,['Mercenary'],,,,,,,,['Nokizaru Group'],,,,,['Jutsu\n\n\nInsect Spying Technique'],,,,,['Mercenary Ninja'],,,,,,,
['Hina'],['Naruto Chapter #354'],['Naruto Shippūden Episode #121'],"['Anime, Manga']",['Junko Takeuchi'],['Mary Elizabeth McGlynn  (#121)\nColleen Villard  (#189)'],,['Female'],,,,,,,,,,,,,,,,,,,,,,['Ninneko'],,,,,,,,
"[""Hinata and Hanabi's Mother""]",,['Naruto Shippūden Episode #166'],['Anime'],,,,['Female'],,,,,,['Konohagakure'],,,,,,,,,,['Family\n\t\nHanabi Hyūga (Daughter)\nHinata Hyūga (Daughter)\nBoruto Uzumaki (Grandson)\nHimawari Uzumaki (Granddaughter)\nHiashi Hyūga (Husband)'],,,,,['Hyūga Clan'],,,,,,,,,
['Hinata Hyūga'],['Naruto Chapter #34'],['Naruto Episode #1'],"['Anime, Manga, Novel, Game, Movie']",['Nana Mizuki'],['Stephanie Sheh'],['December 27'],['Female'],['Incapacitated'],['Part I: 147.3  cm–148.3  cm\nPart II: 160  cm\nBlank Period: 163  cm'],['Part I: 37.9  kg–38.2  kg\nPart II: 45  kg'],['A'],['Heiress of the Hyūga Clan  (Former)'],['Konohagakure\n Allied Shinobi Forces'],['Part I: Genin\nPart II: Chūnin'],"['Naruto: Innocent Heart, Demonic Blood']",['Naruto Shippūden the Movie'],['Naruto: Konoha Ninpōchō'],['Hidden Leaf Village Grand Sports Festival!'],['Part I: 12–13\nPart II: 16'],['Team 8\n Konoha 11 (Anime only)\n Bikōchū Search Team (Anime only)\n Peddlers Escort Team (Anime only)\n Team Three (Anime only)\n Eight Man Squad\n Second Division\n Hanabi Rescue Team (Movie only)'],,['012612'],"[""Family\n\t\nHyūga Elder (Grandfather)\nHiashi Hyūga (Father)\nHizashi Hyūga (Uncle)\nNeji Hyūga (Cousin)\nHinata and Hanabi's Mother (Mother) (Anime only)\nHanabi Hyūga (Sister)\nBoruto Uzumaki (Son)\nHimawari Uzumaki (Daughter)\nNaruto Uzumaki (Husband)\nKawaki (Adoptive Son)""]",['Nature Type\n        \n Fire Release\n Lightning Release'],['Jutsu\n\n\nChakra Transfer Technique\n\n\nEight Trigrams Sixty-Four Palms\n\n\nEight Trigrams Thirty-Two Palms (Anime only)\n\n\nEight Trigrams Twin Lions Crumbling Attack\n\n\nEight Trigrams Vacuum Palm\n\n\nEight Trigrams Vacuum Wall Palm\n\n\nFour-Corner Sealing Barrier (Anime only)\n\n\nGentle Fist\n\n\nGentle Step Spiralling Twin Lion Fists\n\n\nGentle Step Twin Lion Fists\n\n\nMystical Palm Technique (Anime only)\n\n\nPalm Bottom\n\n\nProtecting Eight Trigrams Sixty-Four Palms (Anime only)\n\n\nWater Needle (Anime only)'],['Tools\n\n\nHyūga Clan Secret Ointment'],['Byakugan'],['Hyūga Clan\n Uzumaki Clan'],,,['14'],['12'],,,,,
['Hinoe'],,['Naruto Shippūden Episode #349'],['Anime'],['Taira Kikumoto'],['Todd Haberkorn'],,['Male'],,,,,,['Konohagakure\n Root'],['Part II: Anbu'],,,,,,,,,,,,['Tools\n\n\nBō\n\n\nSword'],,,,,,,,,,,
['Hinoki'],,,['Game'],,,,['Male'],,,,,['Village Head'],['Valley of Great Evil'],,,,['Naruto: Path of the Ninja 2'],,,,,,['Family\n\t\nNazuna (Granddaughter)'],,,,,,,,,,,,,,
['Hinoko'],,['Naruto Shippūden Episode #489'],"['Anime, Novel, Game']",['Aya Saitō'],['Tara Sands'],,['Female'],,,,,,['Konohagakure'],['Blank Period: Anbu'],['Shikamaru Hiden: A Cloud Drifting in Silent Darkness'],,['Naruto Shippūden: Ultimate Ninja Blazing'],,['Blank Period: 14'],,,,,,['Jutsu\n\n\nChakra Needle'],['Tools\n\n\nTantō (Anime only)'],,,,,,,,,,,
['Hinoto'],,['Naruto Shippūden Episode #351'],"['Anime, Game']",['Mariko Higashiuchi'],['Laura Bailey'],,['Female'],,,,,,['Konohagakure\n Root'],['Part II: Anbu'],,,['Naruto Shippūden: Ultimate Ninja Blazing'],,,,,,,,['Jutsu'],['Tools\n\n\nBō\n\n\nSword'],,,,,,,,,,,
['Hippo Boss'],,['Naruto Shippūden Episode #254'],['Anime'],,,,['Male'],,,,,['Leader of the Hippopotamuses'],['Kumogakure'],,,,,,,,,,,,,,,,['Hippopotamus'],,,,,,,,
['Hiruga'],,['Boruto Episode #160'],['Anime'],['Chiharu Sawashiro\nNatsumi Yamada  (Female)'],,,['Male'],['Deceased'],,,,,['File:Land of Haze Symbol.svg Land of Haze'],,,,,,,['Haze Quadruplets'],,,['Family\n\t\nAsaka (Brother)\nYoruga (Brother)\nYūga (Brother)'],['Nature Type\n        \n Water Release'],['Jutsu\n\n\nHaze Ninja Art: Forbidden Technique: Hellish Obliteration\n\n\nWater Clone Technique'],['Tools\n\n\nTantō'],,,,,,,,,,,
['Hiruko (missing-nin)'],,,['Movie'],['Sōichirō Hoshi'],['Todd Haberkorn'],,['Male'],['Deceased'],,,,,['Konohagakure\n Mount Shumisen'],,,['Naruto Shippūden the Movie: The Will of Fire'],,,,"[""Hiruko's Team""]",,,,['Nature Type\n        \n Wind Release\n Lightning Release\n Earth Release\n Water Release\n Dark Release\n Steel Release\n Storm Release\n Swift Release'],['Jutsu\n\n\nBig Ball Rasengan\n\n\nChimera Technique\n\n\nDark Release: Inhaling Maw\n\n\nDark Release: Judgment\n\n\nDevouring Barrier Sphere Trap\n\n\nEarth Release: Devouring Earth\n\n\nLightning Cutter\n\n\nPuppet Curse\n\n\nRasengan\n\n\nSlashing Bandages\n\n\nSteel Release: Impervious Armour\n\n\nStorm Release Secret Technique: Demon Dragon Storm\n\n\nStorm Release: Thunder Cloud Inner Wave\n\n\nSummoning Technique\n\n\nSwift Release: Shadowless Flight\n\n\nUltra-Viscous Slime Battering Ram'],,['Dark Release \n Steel Release \n Storm Release \n Swift Release'],,,['Missing-nin'],,,,,,,
['Hiruko (shinobi)'],,['Naruto Shippūden Episode #2'],['Anime'],['Yutaka Aoyama'],['J.B. Blanc'],,['Male'],['Deceased'],['Part II: 107 cm'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
['Hiruzen Sarutobi'],['Naruto Chapter #1'],['Naruto Episode #1'],"['Anime, Manga, Novel, Game, Movie']",['Hidekatsu Shibata\nKeisuke Fujii  (Young Adult)'],['Steve Kramer'],['February 8'],['Male'],['Deceased'],['Part I: 163.1  cm'],['Part I: 50.6  kg'],['A'],['Hokage'],['Konohagakure\n Allied Shinobi Forces'],['Part I: Kage'],"['Naruto: Innocent Heart, Demonic Blood']",['Naruto Shippūden the Movie: The Will of Fire'],['Naruto: Konoha Ninpōchō'],['Hidden Leaf Village Grand Sports Festival!'],['Part I: 68–69'],['Team Tobirama\n Team Hiruzen\n Escort Unit'],,['000261'],['Family\n\t\nSasuke Sarutobi (Father)\nAsuma Sarutobi (Son)\nMirai Sarutobi (Granddaughter)\nBiwako Sarutobi (Wife)\nKonohamaru Sarutobi (Grandson)'],['Nature Type\n        \n Fire Release\n Wind Release\n Lightning Release\n Earth Release\n Water Release\n Yin Release\n Yang Release'],"['Jutsu\n\n\nDead Demon Consuming Seal\n\n\nEarth Release: Double Suicide Decapitation Technique (Anime only)\n\n\nEarth Release: Earth Dragon Bullet (Anime only)\n\n\nEarth Release: Earth Flow River (Anime only)\n\n\nEarth Release: Earth-Style Wall\n\n\nEarth Release: Shadow Clone (Anime only)\n\n\nFire Release: Fire Dragon Bullet (Anime only)\n\n\nFire Release: Fire Dragon Flame Bullet\n\n\nFire Release: Phoenix Sage Fire Technique (Anime only)\n\n\nFive Elements Unseal (Anime only)\n\n\nFive Release Great Combo Technique\n\n\nFour Red Yang Formation\n\n\nRoof Tile Shuriken (Anime only)\n\n\nSealing Technique: Three Directions Seal (Anime only)\n\n\nSensing Technique\n\n\nShadow Clone Technique\n\n\nShuriken Shadow Clone Technique\n\n\nSummoning Technique (Monkey King: Enma, Shinigami)\n\n\nTelescope Technique']",['Tools\n\n\nAdamantine Staff\n\n\nFūma Shuriken\n\n\nShuriken'],,['Sarutobi Clan'],,['Sensor Type'],,,,,,,
['Hisame'],,,"['Anime, Novel']",['Ryōko Gi'],['Kirsten Potter'],,['Female'],,,,,,['Amegakure'],,['Naruto: Mission: Protect The Waterfall Village! (novel)'],,,['Mission: Protect the Waterfall Village!'],,['Team Suien'],,,,['Nature Type\n        \n Lightning Release\n Water Release'],['Jutsu\n\n\nWater Release: Rapid Thunder Whip Technique (Novel only)\n\n\nWater Release: Water Weapons (Novel only)\n\n\nWater Release: Water Whip'],['Tools\n\n\nSenbon (Novel only)'],,,,['Missing-nin'],,,,,,,
['Hisen'],,,"['Anime, Novel']",,,,['Male'],['Deceased'],,,,['Village Head'],['Takigakure'],,['Naruto: Mission: Protect The Waterfall Village! (novel)'],,,['Mission: Protect the Waterfall Village!'],,,,,['Family\n\t\nShibuki (Son)'],['Nature Type\n        \n Water Release (Novel only)'],['Jutsu\n\n\nSummoning Technique (Ryūrimaru) (Novel only)\n\n\nWater Release: Lotus Light Rupture (Novel only)'],['Tools\n\n\nHero Water'],,,,,,,,,,,
['Hishaku'],,['Naruto Shippūden Episode #225'],['Anime'],['Kumiko Higa'],['Stephanie Sheh'],,['Male'],['Deceased'],,,,['Sailor'],,,,,,,,,,,,,,,,,,,,,,,,,
['Hitode'],,['Naruto Episode #170'],['Anime'],['Yoshiyuki Kaneko'],['Peter Spellos'],,['Male'],,,,,['Boat Guard'],['Land of the Sea'],,,,,,,,,,,,,['Tools\n\n\nSword'],,,,,,,,,,,
['Hizashi Hyūga'],['Naruto Chapter #102'],['Naruto Episode #61'],"['Anime, Manga, Game']",['Kazuaki Itō'],['John DeMita'],['January 8'],['Male'],['Deceased'],['Part I: 176.5  cm'],['Part I: 66.3  kg\nPart II: 58.5  kg'],['B'],,['Konohagakure'],['Part I: Jōnin'],,,['Naruto Shippūden: Ultimate Ninja Blazing'],,['Part I: 32'],,,['005160'],['Family\n\t\nHyūga Elder (Father)\nHiashi Hyūga (Brother)\nHanabi Hyūga (Niece)\nHinata Hyūga (Niece)\nNeji Hyūga (Son)\nBoruto Uzumaki (Grandnephew)\nHimawari Uzumaki (Grandniece)'],,['Jutsu\n\n\nEight Trigrams Palms Revolving Heaven (Anime only)\n\n\nGentle Fist'],,['Byakugan'],['Hyūga Clan'],,,,,,,,,
['Hoheto Hyūga'],['Naruto Chapter #515'],['Naruto Shippūden Episode #256'],"['Anime, Manga']",['Ryūichi Kijima'],['Orion Acaba'],,['Male'],,,,,,['Konohagakure\n Allied Shinobi Forces'],['Part II: Jōnin'],,,,,['Part II: 29'],['Surprise Attack Division'],,,,,,,['Byakugan'],['Hyūga Clan'],,,,,,,,,
['Hohozuki'],,,['Novel'],,,,['Male'],['Deceased'],,,,,,,['Akatsuki Hiden: Evil Flowers in Full Bloom'],,,,,,,,,,,,,,,,,,,,,,
['Hokushin'],,['Naruto Episode #164'],['Anime'],['Kiyomitsu Mizuuchi'],['Troy Baker'],,['Male'],,,,,,['Land of Birds'],,,,,,,['Watari Ninja'],['Nagare'],,,,['Jutsu\n\n\nHiding with Camouflage Technique'],['Tools\n\n\nSword'],,,,['Missing-nin'],,,,,,,
['Hokuto'],,['Naruto Episode #178'],['Anime'],['Ayumi Tsunematsu'],['Michelle Ruff'],,['Female'],,,,,,['Hoshigakure'],['Part I: Genin'],,,,,,,,,,,['Jutsu\n\n\nMysterious Peacock Method\n\n\nSensing Technique'],,,,,['Sensor Type'],,,,,,,
['Homura Mitokado'],['Naruto Chapter #93'],['Naruto Episode #55'],"['Anime, Manga, Novel, Game']",['Hikaru Miyata\nTaira Kikumoto   (Young Adult)'],['Beau Billingslea \nKim Strauss  (Naruto: Ultimate Ninja)'],['May 8'],['Male'],,['Part I: 166 cm'],['Part I: 55.2 kg'],['A'],['Councillor'],['Konohagakure'],,"['Sakura Hiden: Thoughts of Love, Riding Upon a Spring Breeze']",,['Naruto: Ultimate Ninja'],['Hidden Leaf Village Grand Sports Festival!'],['Part I: 68\nPart II: 72–73'],['Team Tobirama\n Konoha Council\n Escort Unit'],['Koharu Utatane'],['000293'],,,,,,,,,,,,,,,
['Honoka'],,['Naruto Shippūden Episode #227'],['Anime'],['Mariko Mizuno'],['Stephanie Sheh'],,['Female'],['Deceased'],,,,,,,,,,,,,,,,,['Jutsu\n\n\nBeast Sealing Technique'],,,,,,,,,,,,
['Hot Water Daimyō'],['Naruto Chapter #517'],['Naruto Shippūden Episode #262'],"['Anime, Manga']",,,,['Male'],,,,,,['Land of Hot Water'],,,,,,['Part II: 61'],,,,,,,,,,,['Daimyō'],,,,,,,
['Hotaru'],,['Naruto Shippūden Episode #144'],"['Anime, Game']",['Megumi Toyoguchi'],['Kari Wahlgren'],,['Female'],,['Part II: 153  cm'],,,,['Tsuchigumo Village'],,,,['Naruto: Shinobi Collection'],,,,,,['Family\n\t\nEn no Gyōja (Grandfather)'],['Nature Type\n        \n Water Release'],['Jutsu\n\n\nWater Release: Wild Water Wave'],,,['Tsuchigumo Clan'],,,,,,,,,
['Hotarubi'],,['Naruto Episode #179'],['Anime'],['Rikiya Koyama'],['Brian Beacock'],,['Male'],['Deceased'],,,,,['Hoshigakure'],['Part I: Jōnin'],,,,,,,,,['Family\n\t\nSumaru (Son)\nNatsuhi (Wife)'],,['Jutsu\n\n\nMysterious Peacock Method'],,,,,,,,,,,,
['Human Path (character)'],['Naruto Chapter #376'],['Naruto Shippūden Episode #127'],"['Anime, Manga, Game']",['Fumiya Itō'],['Patrick Seitz'],,['Male'],['Deceased'],['Part II: 198  cm'],,,,['Takigakure'],,,,['Naruto Shippūden: Ultimate Ninja Heroes 3'],['Naruto x UT'],,,,,,,,,,,,,,,,,,,
['Hyō'],['Naruto Chapter #285'],['Naruto Shippūden Episode #35'],"['Anime, Manga, Game']",['Kazuyuki Okitsu'],['Steven Blum \nCrispin Freeman   (Naruto Shippūden: Ultimate Ninja Impact)'],,['Male'],,,,,,['Konohagakure\n Root'],['Part II: Anbu'],,,['Naruto Shippūden: Ultimate Ninja Impact'],,['Part II: 21'],,,,,,['Jutsu\n\n\nAssassination Technique'],['Tools\n\n\nTantō'],,,,,,,,,,,
['Hyōgo'],,['Boruto Episode #227'],['Anime'],['Haruo Satō'],,,['Male'],,,,,,['Kusagakure'],,,,,,,,,,,,,,,,,['Missing-nin'],,,,,,,
['Hyōi Yorishiro'],,['Boruto Episode #177'],['Anime'],['Katsunori Okai'],['Billy Kametz'],,['Male'],,,,,['Thief'],,,,,,,,,,,,,['Jutsu\n\n\nChakra Disguise\n\n\nTransformation Technique'],,,,,,,,,,,,
['Hyūga Elder'],['Naruto Chapter #105'],['Naruto Episode #61'],"['Anime, Manga']",['Katsumi Chō \nGorō Sanada  (Shippūden Episodes 389-390)'],['William Frederick Knight \nKirk Thornton  (Shippūden Episode 192)\nMichael McConnohie  (Shippūden Episodes 389-390)'],,['Male'],,,,,['Head of the Hyūga clan  (Former)'],['Konohagakure'],,,,,,,,,,['Family\n\t\nHiashi Hyūga (Son)\nHanabi Hyūga (Granddaughter)\nHinata Hyūga (Granddaughter)\nBoruto Uzumaki (Great-Grandson)\nHimawari Uzumaki (Great-Granddaughter)\nHizashi Hyūga (Son)\nNeji Hyūga (Grandson)'],,,,['Byakugan'],['Hyūga Clan'],,,,,,,,,
['Hāto'],,['Naruto Shippūden Episode #148'],['Anime'],,,,['Male'],['Deceased'],,,,,['Tsuchigumo Village'],,,,,,,,,,['Family\n\t\nShiranami (Son)'],,['Jutsu\n\n\nFury'],,,['Tsuchigumo Clan'],,,,,,,,,
['Hōichi'],,['Naruto Shippūden Episode #410'],['Anime'],['Yō Tokinaga'],['Brian Beacock'],,['Male'],,['Part I: 172  cm'],,,['Priest'],['Sunagakure'],,,,,,,,,,,,['Jutsu\n\n\nDharma Power Barrier: Auspicious Sign\n\n\nDharma Power Seal\n\n\nDharma Power Sealing Technique: Sen no Rikyū\n\n\nDharma Power: Silhouette'],['Tools\n\n\nSand'],,,,['Pseudo-Jinchūriki'],,,,"['Shukaku, Chōmei (Forms)']",,,
['Hōki (Takigakure)'],['Naruto Chapter #43'],['Naruto Episode #25'],"['Anime, Manga, Game']",,,,['Male'],,,,,,['Takigakure'],['Part I: Genin'],,,['Naruto Mobile'],,['Part I: 17'],,,,,,,,,,,,,,,,,,
['Hōki (Takumi)'],,['Naruto Episode #216'],['Anime'],['Junpei Morita'],['Dave Mallow'],,['Male'],['Deceased'],,,,,['Takumi Village'],,,,,,,['Four Celestial Symbols Men'],,,,['Nature Type\n        \n Wind Release\n Fire Release'],['Jutsu\n\n\nNinja Tools Barrier: Reverse Fish Scales Formation\n\n\nPeacock Whirlwind'],['Tools\n\n\nFire Sword\n\n\nGarian Sword\n\n\nInfinite Armour\n\n\nWeaknessless Soaring Shortswords'],,,,,,,,,,,
['Hōki (Watari)'],,['Naruto Episode #162'],['Anime'],['Kōji Totani\nKatsuhisa Hōki   (Mōsō)'],['Michael McConnohie'],,['Male'],,,,,['Chief Advisor to the Daimyō  (Former)'],['Land of Birds'],,,,,,,['Watari Ninja'],,,,['Nature Type\n        \n Fire Release\n Water Release\n Yin Release'],['Jutsu\n\n\nFire Release: Great Fireball Technique\n\n\nFire Release: Phoenix Sage Fire Technique\n\n\nHaze Clone Technique\n\n\nShadow Clone Technique\n\n\nWater Clone Technique\n\n\nWater Release: Great Waterfall Technique\n\n\nWater Release: Water Bullet Technique\n\n\nWater Release: Water Dragon Bullet Technique'],['Tools\n\n\nSword'],,,,['Missing-nin'],,,,,,,
['Hōki Taketori'],,['Boruto Episode #1'],"['Anime, Novel, Game']",['Katsunori Okai'],['Christopher Swindle'],,['Male'],,['Gaiden: 145  cm'],,,,['Konohagakure'],['Gaiden: Anbu'],['The New Leaves Soaring Through the Blue Sky!'],,['Naruto: Ultimate Ninja Online'],,,['Team 25'],,,,['Nature Type\n        \n Earth Release'],['Jutsu\n\n\nEarth Release: Fighting Blade Rod (Anime only)\n\n\nMental Resistance Technique (Anime only)\n\n\nMultiple String Light Formation (Anime only)\n\n\nString Light Formation (Anime only)'],,,,,,,,,,,,
['Hōsei'],['Naruto Chapter #43'],['Naruto Episode #25 (Heard; Not Shown)'],"['Anime, Manga, Game']",['Ryotaro Sato'],['Quinton Flynn'],,['Male'],,,,,,['Konohagakure'],['Part I: Genin'],,,['Naruto Mobile  (Heard; Not Shown)'],,['Part I: 18'],,,,,,,,,,,,,,,,,,
['Hōshō'],['Naruto Chapter #235'],['Naruto Episode #135'],"['Anime, Manga, Game']",,['Kirk Thornton'],,['Male'],,,,,,['Konohagakure'],,,,['Naruto: Ultimate Ninja Online'],,['Part I: 26'],['Medic Corps'],,,,,,,,,,['Medical-nin'],,,,,,,
"[""Hōzuki Castle's Ninken""]",,['Boruto Episode #146'],['Anime'],,,,,,,,,,,,,,,,,,,,,,,,,,['Ninken'],['Summon'],,,,,,,
['Ibara'],['Naruto Chapter #1'],['Naruto Episode #1'],"['Anime, Manga, Game']",['Keiko Sonoda (Part I)\nEriko Kigawa  (Part II)'],['Stephanie Sheh'],,['Female'],,,,,['Housewife'],['Konohagakure'],,,,['Naruto: Rise of a Ninja'],,['Part I: 28'],,,,,,,,,,,,,,,,,,
['Ibiki Morino'],['Naruto Chapter #40'],['Naruto Episode #21'],"['Anime, Manga, Novel, Game, Movie']",['Taiten Kusunoki'],"[""Kim Strauss  (Part I)\nDavid Rasner (Twelve Guardian Ninja (Arc))\nDan Woren  (Akatsuki Suppression Mission)\nChristopher Corey Smith  (Pain's Assault (Arc) and onwards)""]",['March 20'],['Male'],,['Part I: 193.5  cm'],['Part I: 88  kg'],['A'],['Chūnin Exams Proctor\nHead of the Konoha Torture and Interrogation Force'],['Konohagakure'],['Part I: Tokubetsu Jōnin'],"['Sakura Hiden: Thoughts of Love, Riding Upon a Spring Breeze']",['Naruto the Movie: Blood Prison'],['Naruto: Ultimate Ninja'],['Hidden Leaf Village Grand Sports Festival!'],['Part I: 27\nPart II: 31–32'],['Konoha Torture and Interrogation Force\n Team 40 (Anime only)'],,['010913'],['Family\n\t\nIdate Morino (Younger Brother) (Anime only)'],,['Jutsu\n\n\nSummoning Technique\n\n\nSummoning: Iron Maiden (Anime only)\n\n\nSummoning: Torture Chamber (Anime only)'],['Tools\n\n\nBlowpipe (Anime only)\n\n\nConcealed Mouth Ember (Anime only)\n\n\nKatar (Anime only)'],,,,,['15'],['10'],,,,,
['Ibuse'],['Naruto Chapter #369'],['Naruto Shippūden Episode #128'],"['Anime, Manga, Game']",,,,['Male'],['Presumed Deceased'],,,,,['Amegakure'],,,,['Naruto Shippūden: Ultimate Ninja Storm 3'],,['Part II: 55'],,,,,,['Jutsu\n\n\nPoison Mist\n\n\nSummoning: Ibuse Poisoning'],['Tools\n\n\nPoison'],,,['Japanese giant salamander'],['Summon'],,,,,,,
['Ibushi'],,,['Game'],['Kazuya Tatekabe'],['Fred Tatasciore'],,['Male'],['Deceased'],,,,,['Land of Wind'],,,,['Naruto: Uzumaki Chronicles 2'],,,['Shirogane Three'],,,,,['Jutsu\n\n\nPuppet Technique'],['Tools\n\n\nLizard Puppet\n\n\nSpirit Orbs'],,['Shirogane Clan'],,,,,,,,,
['Ichi'],,,['Movie'],['Yoshimitsu Shimoyama'],['Patrick Seitz'],,['Male'],['Deceased'],,,,,['Mount Shumisen'],,,['Naruto Shippūden the Movie: The Will of Fire'],,,,"[""Hiruko's Team""]",,,,,['Jutsu\n\n\nChimera Technique\n\n\nSnake Steel Net\n\n\nSpinning Snake Thorn\n\n\nSummoning Technique (Snake)\n\n\nSummoning: Dual-Headed Snakes'],,,,,,,,,,,,
['Ichigen'],['Naruto Chapter #314'],['Naruto Shippūden Episode #73'],"['Anime, Manga']",,,,['Male'],['Presumed Deceased'],,,,,['Land of Fire\n Fire Temple'],,,,,,['Part II: 22'],,,,,,,,,,,['Ninja monk'],,,,,,,
['Ichikishimahime'],,['Boruto Episode #75'],['Anime'],['Kumi Takaragi'],['Stephanie Sheh'],,['Female'],,,,,,['Ryūchi Cave'],,,,,,,,,,,['Nature Type\n        \n Yin Release'],,,,,['Snake'],,,,,,,,
