Name;Manga;Anime;Appears in;Japanese;English;Birthdate;Sex;Status;Height;Weight;Blood type;Occupation;Affiliation;Ninja Rank;Novel;Movie;Game;OVA;Age;Team;Partner;Ninja Registration;Family;Nature Type;Jutsu;Tools;Kekkei Genkai;Clan;Species;Classification;Chūnin Prom. Age;Academy Grad. Age;Unique Traits;Tailed Beast;Jinchūriki;Kekkei Mōra;Kekkei Tōta
Daore Dōtonbori;;Boruto Episode #94;Anime, Novel;Hana Takeda;;;Male;;;;;;;;Naruto Shinden: Parent and Child Day;;;;;Exploding-Till-You-Eat;;;Kūi Dōtonbori (Father);;;;;;;;;;;;;;
Darui;Naruto Chapter #454;Naruto Shippūden Episode #199;Anime, Manga, Novel, Game, Movie;Ryōta Takeuchi;Catero Colbert , Ogie Banks (Ultimate Ninja Storm series);January 6;Male;;185;68.5;O;First Division Commander of the Allied Shinobi Forces, Raikage;Kumogakure, Allied Shinobi Forces;Part II: Jōnin, Gaiden: Kage;Sasuke Shinden: Book of Sunrise;Boruto: Naruto the Movie;Naruto Shippūden 3D: The New Era;Naruto Shippūden: UNSG anime cutscenes;26;Kumo Council, First Division;C;CL5596;;Storm Release, Lightning Release, Water Release, Wind Release;Black Lightning, Double Black Panther (Anime only), Lightning Release: Black Panther, Lightning Release: Wave of Inspiration, Shadow Clone Technique (Anime only), Storm Release: Laser Circus, Water Release: Water Formation Wall;Benihisago, Cleaver Sword, Kohaku no Jōhei, Shichiseiken;Storm Release;;;;;;;;;;
Daruma Izuno;;Boruto Episode #222;Anime;Taketora;;;Male;;;;;;Konohagakure;;;;;;;;;;Amagi Izuno (Mother), Wasabi Izuno (Daughter), Mazuma Izuno (Wife);;;;;Izuno Clan;;;;;;;;;
Datsuji;;Naruto Shippūden Episode #398;Anime;Shinobu Matsumoto;Kirk Thornton;;Male;;170;;;;Sunagakure;Part I: Genin;;;;;;Team Goji;;;;Water Release;Water Release: Mouth Shot;Flash Bomb;;;;;;;;;;;
Deepa;;Boruto Episode #157;Anime;Tetsuya Kakihara;Chris Hackney;;Male;Deceased;;;;Inner;Kara;;;;;;;;Victor;;;Yin Release;Carbon Armour, Carbon Control, Carbon Ring, Carbon Whip, Genjutsu Communication;;;;;;;;;;;;
Deidara;Naruto Chapter #247;Naruto Shippūden Episode #2;Anime, Manga, Novel, Game, Movie;Katsuhiko Kawamoto;Quinton Flynn (Episode 135), Roger Craig Smith;May 5;Male;Deceased;166;50.8;AB;Terrorist Bomber;Iwagakure, Akatsuki;;Akatsuki Hiden: Evil Flowers in Full Bloom;Road to Ninja: Naruto the Movie;Naruto Shippūden: Gekitō Ninja Taisen! EX;Naruto Shippūden: UNSG anime cutscenes;19;Explosion Corps, Surprise Attack and Diversion Platoon;Sasori, Tobi;IW-08721;;Explosion Release, Earth Release, Lightning Release;C0, C1, C2, C3, C4, Clay Clone, Earth Release: Hiding Like a Mole Technique, Explosive Clay, Explosive Clay Dolls (Anime only), Explosive Landmines, Five-Seal Barrier Pass Technique, Iwagakure Kinjutsu, Shadow Clone Technique, Suicide Bombing Clone;Eye Scope, Sword (Anime only);Explosion Release;;;S-rank, Missing-nin, Mercenary Ninja;;;;;;;
Delta;Boruto Chapter #15;Boruto Episode #157;Anime, Manga, Game;Houko Kuwashima;Amber Lee Connors;;Female;;;;;Inner (Former);Kara, Konohagakure (Manga only);;;;Naruto x Boruto: Ninja Voltage;;;;;;Akebi Sanzu (Genetic source), Amado Sanzu (Creator/Father);Yin Release;Genjutsu Communication;Absorbing Eye, Microscopic Scientific Ninja Space-Time Gate, Spy Drone;;;;;;;;;;;
Demonic Statue of the Outer Path;Naruto Chapter #254;Naruto Shippūden Episode #10;Anime, Manga, Novel, Game, Movie;;;;;Incapacitated;;;;;Akatsuki;;The Last: Naruto the Movie;The Last: Naruto the Movie;Naruto Shippūden: Ultimate Ninja 5;;;;;;Ten-Tails (Original Form);;Black Receiver, Demonic Statue Chains, Sealing Technique: Phantom Dragons Nine Consuming Seals;;;;;Summon;;;;;;;
Dengaku;Naruto Chapter #159;Naruto Episode #91;Anime, Manga;Toshitsugu Takashina;Quinton Flynn (Episode 91), Steve Kramer (Episode 92);;Male;;164;;;Shopkeeper of an oden stall;Land of Fire;;;;;;33;;;;;;;;;;;;;;;;;;
Denka;Naruto Chapter #354;Naruto Shippūden Episode #121;Anime, Manga;Kazuhiko Inoue;Rick Zieff (#121), Sam Riegel (#189);;Male;;;;;;;;;;;;;;;;;;;;;;Ninneko;;;;;;;;
Denki Kaminarimon;;Boruto Episode #1;Anime, Manga, Novel, Game;Chihiro Ikki;Erica Mendez;;Male;;138;;;;Konohagakure;Gaiden: Chūnin;The New Leaves Soaring Through the Blue Sky!;;Naruto: Ultimate Ninja Online;;;Team 5;;;Ereki Kaminarimon (Father);Lightning Release;Lightning Release: Elekiter (Anime only), Lightning Release: Lightning Slash (Anime only), Lightning Release: Overdrive (Anime only), Multiple String Light Formation (Anime only), String Light Formation (Anime only);Flash Bomb (Anime only), Lightning Release Suit (Anime only), Smoke-Flash Bomb (Anime only);;;;;;;;;;;
Disonasu;;Naruto Shippūden Episode #290;Anime;Masayuki Omoro;Keone Young;;Male;Deceased;;;;Head of Hachō Village;Hachō Village;;;;;;;;;;;;Scroll Communication Technique, Summoning Technique;Ama no Hoko, Saezuri;;;;;;;;;;;
Dodai;Naruto Chapter #541;Naruto Shippūden Episode #282;Anime, Manga, Game;Shinobu Matsumoto;Todd Haberkorn;October 23;Male;;176.5;78.9;O;Raikage Attendant;Kumogakure, Allied Shinobi Forces;Part II: Jōnin;;;Naruto Shippūden: Ultimate Ninja Storm Revolution;;54;Fourth Division, Communications Team;;CL1532;;Lava Release, Fire Release, Earth Release;Lava Release: Rubber Ball, Lava Release: Rubber Defence, Lava Release: Rubber Rope, Lava Release: Rubber Wall;;Lava Release;;;;;;;;;;
Dokan;;Naruto Shippūden Episode #452;Anime;Minoru Kawai;;;Male;;;;;;Konohagakure;Part II: Genin;;;;;;;;;;;;;;;;;;;;;;;
Doki;Naruto Chapter #202;Naruto Episode #119;Anime, Manga, Game;;;;;;;;;;Otogakure;;;;Naruto: Gekitō Ninja Taisen! 4;;;;;;;Yin Release;;Club;;;Demon;Summon;;;;;;;
Dokku;;Naruto Shippūden Episode #290;Anime;Hiroto Torihata;Joe Ochman;;Male;;165;;;Militia Officer (Former);Tonika Village;;;;;;36;;;;Shiseru (Wife), Lando (Adoptive Son), Leo (Adoptive Son), Miina (Adoptive Daughter), Faz (Adoptive Son), Sora (Adoptive Daughter);;;Ama no Hoko, Saezuri;;;;;;;;;;;
Don;;Naruto Shippūden Episode #254;Anime;;;;Male;;;;;Leader of the Koalas;Kumogakure;;;;;;;;;;;;;;;;Koala;;;;;;;;
Doragu;;Boruto Episode #142;Anime;Tsuyoshi Koyama;Kyle Hebert;;Male;;;;;Criminal;;;;;;;;;;;;;;;;;;;;;;;;;
Doseki Ganryū;;Boruto Episode #261;Anime;Daichi Hayashi;;;Male;;;;;;Konohagakure;Boruto Manga: Academy Student;;;;;;;;;;;;;;;;;;;;;;;
Dosu Kinuta;Naruto Chapter #35;Naruto Episode #21;Anime, Manga, Game;Daisuke Egawa;John DeMita;June 12;Male;Deceased;156;49;A;;Otogakure;;;;Naruto: Path of the Ninja;Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!;14;Team Dosu;;;;;Resonating Echo Drill;Resonating Echo Speaker;;;;;;;;;;;
Dotō Kazahana;;;Game, Movie;Tsutomu Isobe;Lex Lang;;Male;Deceased;;;;;Yukigakure;;;Naruto the Movie: Ninja Clash in the Land of Snow;Naruto: Ultimate Ninja 2;;;;;;Koyuki Kazahana (Niece), Sōsetsu Kazahana (Brother);Ice Release;Ice Release: Black Dragon Blizzard, Ice Release: Twin Dragon Blizzard;Chakra Armour, Hexagonal Crystal (Movie only), Mechanical Kunai Thrower (Movie only);;;;Daimyō;;;;;;;
Dread Lion;;Naruto Shippūden Episode #189;Anime;;;;Male;;;;;;;;;;;;;;;;;;;;;;Lion;;;;;;;;
Dōshin;;;Game;Daisuke Sakaguchi;Roger Craig Smith;;Male;Deceased;;;;;Konohagakure;Part II: Anbu;;;Naruto Shippūden: Ultimate Ninja Heroes 3;;;Leafs Anbu;;;;Earth Release, Yin Release;Demonic Illusion: False Surroundings Technique, Forbidden Summoning Technique: Fire Rats Cometh, Forbidden Technique: Mud Golem;;;;;Missing-nin;;;;;;;
Dōshu Goetsu;Naruto Chapter #700+1;Boruto Episode #1;Anime, Manga, Novel, Game;Kazuki Ōta , Daiki Kajimoto (Episode 139+);Christopher Swindle;;Male;;;;;;Konohagakure;Gaiden: Genin;The New Leaves Soaring Through the Blue Sky!;;Naruto: Ultimate Ninja Online;;;Team 40 (Anime only);;;;;Chakra Transfer Technique (Anime only), Multiple String Light Formation (Anime only), Mystical Palm Technique (Anime only), String Light Formation (Anime only);Blowpipe (Anime only), Injection Shot (Anime only);;;;Medical-nin;;;;;;;
Dōtō Akimichi;Naruto Chapter #542;Naruto Shippūden Episode #282;Anime, Manga, Game;;Steve Kramer;;Male;;;;;;Konohagakure;Part II: Jōnin;;;Naruto Mobile;;29;;;;;Yang Release;Calorie Control;Bō;;Akimichi Clan;;;;;;;;;
Eagle-Masked Anbu Member;Naruto Chapter #57;Naruto Episode #30;Anime, Manga, Game;Keijin Okuda (Part I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Earth Daimyō;Naruto Chapter #488;Naruto Shippūden Episode #218;Anime, Manga;Kenji Yamauchi;Kirk Thornton;;Male;;;;;;Land of Earth;;;;;;62;;;;;;;;;;;Daimyō;;;;;;;
Earth Prison Golem;;Naruto Shippūden Episode #304;Anime;;;;;;;;;;Otogakure;;;;;;;;;;;Earth Release;;;;;;Summon;;;Can absorb chakra;;;;
Ebisu;Naruto Chapter #2;Naruto Episode #2;Anime, Manga, Game, Movie;Nobuo Tobita , Manami Hanawa (Child);Crispin Freeman;March 8;Male;;181.4;67.5;A;Personal Trainer;Konohagakure, Allied Shinobi Forces;Part I: Tokubetsu Jōnin;;Naruto the Movie: Blood Prison;Naruto: Konoha Ninpōchō;Hidden Leaf Village Grand Sports Festival!;33;Team Chōza, Team Ebisu;;10777;;Fire Release (Anime only);Fire Release: Fire Dragon Bullet (Anime only), Shadow Clone Technique (Anime only);;;;;;17;10;;;;;
Ebizō;Naruto Chapter #252;Naruto Shippūden Episode #9;Anime, Manga, Novel, Game, Movie;Ken Shiroyama;Kyle Hebert;January 6;Male;;158;45;B;Senior (Novel only), Head of the Suna Council (Novel only);Sunagakure;Blank Period: Jōnin;Gaara Hiden: A Sandstorm Mirage;Naruto Shippūden the Movie: The Will of Fire;Naruto Shippūden: Ultimate Ninja 4;;72;Honoured Siblings, Suna Council (Novel only);;02-002;Chiyo (Sister), Sasoris Father (Nephew), Sasori (Grandnephew);;;;;;;;;;;;;;
Edashi;;Naruto Shippūden Episode #465;Anime;Yo Tokinaga, Misuzu Togashi (Child);Robbie Rist , Colleen OShaughnessey (Child);;Male;Deceased;;;;;Land of Ancestors;;;;;;;;;;;;Chakra Transfer Technique;;;;;;;;;;;;
Ehō Norimaki;;Boruto Episode #154;Anime;Ryōko Shiraishi;Casey Mongillo;;Male;;;;;;Konohagakure;Boruto Manga: Academy Student;;;;;;;;;;;;;;;;;;;;;;;
Eiki Fūma;;Boruto Episode #261;Anime;Takuto Yoshinaga;;;Male;;;;;;Konohagakure;Boruto Manga: Academy Student;;;;;;;;;;;;;;Fūma Clan;;;;;;;;;
Emi;Naruto Chapter #144;Naruto Episode #83;Anime, Manga, Game;Masumi Asano;Laura Bailey;;Female;;;;;Tailor shop worker;Land of Fire;;;;Naruto: The Broken Bond;;25;;;;;;;;;;;;;;;;;;
Emina;;;Movie;Tomoka Kurokawa;Michelle Ruff;;Female;;;;;Traveller;;;;Naruto the Movie: Legend of the Stone of Gelel;;;;;;;Kahiko (Grandfather);;;;;;;;;;;;;;
Emiru;Naruto Chapter #286;Naruto Shippūden Episode #36;Anime, Manga;;Colleen Villard;;Female;;;;;Traveller;Land of Fire;;;;;;17;;;;;;;;;;;;;;;;;;
En no Gyōja;;Naruto Shippūden Episode #144;Anime;Gorō Sanada;Neil Kaplan;;Male;Deceased;;;;Head of the Tsuchigumo clan;Tsuchigumo Village;;;;;;;;;;Hotaru (Granddaughter);;Fury;;;Tsuchigumo Clan;;;;;;;;;
En Oyashiro;;Naruto Shippūden Episode #485;Anime, Novel;Takuya Kirimoto;Greg Chun;;Male;;191;;;Kekkei Genkai collector, Arms Merchant;Land of Hot Water;;Sasuke Shinden: Book of Sunrise;;;;;;;;Chino (Daughter);;Mystical Palm Technique (Anime only);;Ketsuryūgan;Chinoike Clan;;Medical-nin;;;;;;;
Enchū Nara;;Boruto Episode #97;Anime;Gorō Sanada;Christopher Swindle;;Male;;;;;Elder advisor of the Nara clan;Konohagakure;;;;;;;;;;;;;;;Nara Clan;;;;;;;;;
Enko Onikuma;;Boruto Episode #1;Anime, Novel, Game;Kumi Takaragi;Erica Lindbeck , Brianna Knickerbocker (The Terror! Enko Onikuma);;Female;;;;;;Konohagakure;Gaiden: Genin;The New Leaves Soaring Through the Blue Sky!;;Naruto: Ultimate Ninja Online;;;Team 40;;;;;Multiple String Light Formation (Anime only), Onikuma Clans Hijutsu (Anime only), String Light Formation (Anime only);;;Onikuma Clan;;;;;;;;;
Enra;;Boruto Episode #119;Anime, Game;Ryōko Shiraishi;Michael Sinterniklaas;;Male;;;;;;Konohagakure;;;;Naruto Mobile;;;;;;Enma (Grandfather);;Adamantine Seal: Monkey Yang Suppression, Transformation: Adamantine Staff;;;;Monkey;Summon;;;;;;;
Ensui Nara;Naruto Chapter #523;Naruto Shippūden Episode #266;Anime, Manga;Masato Kaji;Henry Dittman;;Male;;;;;;Konohagakure, Allied Shinobi Forces;Part II: Jōnin;;;;;37;Third Division;;;;Yin Release;Shadow Imitation Shadow Bind Technique, Shadow Imitation Technique, Shadow Sewing Technique;;;Nara Clan;;;;;;;;;
Enzo Tenrō;;;Game;Daichi Endō;Jamieson Price;;Male;;;;;Chief of Yumegakure;Yumegakure;;;;Naruto Shippūden: Kizuna Drive;;;;;;Ryuka Tenrō (Daughter);;Beast-Human Fury Kicks, Beast-Human Needle Senbon, Tenrō-Style Ninjutsu: Beast-Human Transformation Technique;Shakujō;;Tenrō Clan;;;;;;;;;
Ereki Kaminarimon;;Boruto Episode #1;Anime, Novel, Game;Jun Miyamoto;Christopher Swindle;;Male;;;;;President of Kaminarimon Company;Konohagakure, Allied Shinobi Forces;;The New Leaves Soaring Through the Blue Sky!;;Naruto: Ultimate Ninja Online (Mentioned only);;;;;;Denki Kaminarimon (Son);;;;;;;;;;;;;;
Erimaki Sharo;;;Anime;Toa Yukinari;Tara Platt;;Female;;;;;;Iwagakure;Part II: Genin;;;;Chūnin Exam on Fire! Naruto vs. Konohamaru!;;;;;;;;;;;;;;;;;;;
Etoro Konjiki;;;Novel;;;;Male;Deceased;;;;Terrorist;Ishigakure;;Gaara Hiden: A Sandstorm Mirage;;;;;Ishi Terrorists;;;Metoro Konjiki (Twin Brother);Lava Release, Fire Release, Earth Release, Yin Release;Lava Release: Expanding Flame Rings;;Lava Release;;;Missing-nin, Mercenary Ninja;;;;;;;
Evil Minister of the Tea Daimyō;;Naruto Episode #102;Anime;Aruno Tahara;Doug Erholtz;;Male;;;;;Minister (Former), Monk;Land of Tea;;;;;;;;;;;;;;;;;;;;;;;;
F;Naruto Chapter #545;Naruto Shippūden Episode #296;Anime, Manga;Kōsuke Gotō;Todd Haberkorn;;Male;;;;;;Kumogakure, Allied Shinobi Forces;;;;;;;;;;;;;;;;;;;;;;;;
Fang Daimyō;;Naruto Episode #177;Anime;;Peter Spellos;;Male;;;;;;Land of Fangs;;;;;;;;;;;;;;;;;Daimyō;;;;;;;
Faz;;Naruto Shippūden Episode #290;Anime;Miki Fukui;Brianne Brozey;;Male;;;;;;Tonika Village;;;;;;;;;;Dokku (Adoptive Father), Shiseru (Adoptive Mother), Leo (Adoptive Brother), Miina (Adoptive Sister), Lando (Adoptive Brother), Sora (Adoptive Sister);;;;;;;;;;;;;;
Fire Daimyō (Part I-II);Naruto Chapter #450;Naruto Shippūden Episode #179;Anime, Manga, Novel, Movie;Yoshiyuki Kaneko;Grant George , Steve Kramer (Naruto Shippūden the Movie: The Will of Fire);;Male;;;;;;Land of Fire;;Sakura Hiden: Thoughts of Love, Riding Upon a Spring Breeze;Naruto Shippūden the Movie: The Will of Fire;;;50;;;;Madam Shijimi (Wife), Naho (Unknown kinship) (Anime only);;;;;;;Daimyō;;;;;;;
First Animal Path (character);Naruto Chapter #371;Naruto Shippūden Episode #127;Anime, Manga, Game;Nobuyuki Furuta;Todd Haberkorn;;Male;Deceased;168.5;;;;;;;;Naruto Shippūden: Ultimate Ninja Heroes 3;Naruto Shippūden: UNSG anime cutscenes;;;;;;;;Fūma Shuriken;;Fūma Clan;;;;;;;;;
First Hoshikage;;Naruto Episode #179;Anime;;;;Male;Deceased;;;;Hoshikage;Hoshigakure;Part I: Kage;;;;;;;;;;;;;;;;;;;;;;;
Former Leader of Nadeshiko Village;;Naruto Shippūden Episode #235;Anime;Marika Hayashi;Cindy Robinson;;Female;Presumed Deceased;;;;Leader of Nadeshiko Village;Nadeshiko Village;;;;;;;;;;;;;Sword;;;;;;;;;;;
Fox-Masked Anbu Member;;Naruto Episode #203;Anime;Keiichi Sonobe;Steve Blum;;Male;;;;;;Konohagakure;Part I: Anbu;;;;;;;;;;;;Sword;;;;;;;;;;;
Frost Daimyō;Naruto Chapter #517;Naruto Shippūden Episode #262;Anime, Manga;Takashi Kondō , Yō Tokinaga (Naruto Shippūden episode 487);;;Male;;;;;;Land of Frost;;;;;;65;;;;;;;;;;;Daimyō;;;;;;;
Fubuki Kakuyoku;;;Game, Movie;Jun Karasawa;Cindy Robinson;;Female;Deceased;;;;;Yukigakure;;;Naruto the Movie: Ninja Clash in the Land of Snow;Naruto: Ultimate Ninja 2;;;Dotōs Three-Man-Team;;;;Ice Release;Ice Prison Technique, Ice Release: Swallow Snow Storm;Chakra Armour, Ice Bomb (Movie only);;;;;;;;;;;
Fudō;;Naruto Shippūden Episode #54;Anime;Atsushi Imaruoka;Travis Willingham;;Male;Deceased;195;;;;Land of Fire;;;;;;;Furidos 4-Man Team;;;;Earth Release;Earth Release Resurrection Technique: Corpse Soil, Earth Release: Antlion Technique, Earth Release: Bedrock Coffin, Earth Release: Bullet Rock Technique, Earth Release: Earth Flow Spears, Earth Release: Earth-Style Rampart, Earth Release: Earth-Style Wall, Earth Release: Fissure, Earth Release: Ground Bedrock, Earth Release: Hiding in Rock Technique, Earth Release: Lithic Press, Earth Release: Mutability, Earth Release: Rock Pillar Prison Technique, Earth Release: Rock Trail, Earth Release: Tearing Earth Turning Palm, Finger Carving Seal, Rock Armour, Summoning Technique;Altering Terrain Diagram Scroll;;;;;;;;;;;
Fuen;;Naruto Shippūden Episode #54;Anime;Yōji Ueda;Vic Mignogna;;Female;Deceased;180;;;;Land of Fire;;;;;;;Furidos 4-Man Team;;;;Earth Release, Yin Release;Altering Terrain Technique, Barrier Gate Five Seals Technique: Castle Closing Eight Gates, Earth Release: Hiding in Rock Technique, Earth Release: Rock Section Cane, Poison Moth Genjutsu;Altering Terrain Diagram Scroll, Poison;;;;;;;;;;;
Fugai;;;Movie;Urara Takano;Kari Wahlgren;;Female;Deceased;186;;;;Temujins Continent;;;Naruto the Movie: Legend of the Stone of Gelel;;;;Haidos Knights;;;;;Fugais Howl;Stone of Gelel;;;;;;;;;;;
Fugaku Uchiha;Naruto Chapter #145;Naruto Episode #84;Anime, Manga, Novel, Game;Dai Matsumoto (Episode 84), Kenji Hamada (Episode 129+);Wally Wingert (Episode 84), Doug Stone (Episode 129+);August 16;Male;Deceased;175.3;63.1;AB;Head of the Uchiha Clan, Captain of the Konoha Military Police Force;Konohagakure;Part I: Jōnin;Itachi Shinden: Book of Bright Light;;Naruto: The Broken Bond;;40;Konoha Military Police Force;;4086;Itachi Uchiha (Son), Sasuke Uchiha (Son), Sarada Uchiha (Granddaughter), Mikoto Uchiha (Wife);Fire Release, Yin Release (Anime only);Fire Release: Great Fireball Technique, Genjutsu: Sharingan (Anime only), Shadow Clone Technique (Anime only);;Sharingan , Mangekyō Sharingan (Anime only);Uchiha Clan;;;;;;;;;
Fugi;;Naruto Shippūden Episode #397;Anime;Shinobu Matsumoto;Kirk Thornton;;Male;Deceased;180;;;;Sunagakure;Part I: Jōnin;;;;;;;;;;;Sandstorm Barrier;Sand, Tantō;;;;;;;;;;;
Fuguki Suikazan;Naruto Chapter #507;Naruto Shippūden Episode #251;Anime, Manga, Game;Minoru Hirota;Christopher Corey Smith;February 22;Male;Deceased;249.1;156.7;O;;Kirigakure;Part II: Jōnin;;;Naruto Shippūden: Ultimate Ninja Storm 3;;36;Seven Ninja Swordsmen of the Mist;;;;;Hair Needle Senbon, Sharp Hair Spear: Might (Anime only), Silent Killing;Samehada;;;;;;;;;;;
Fugō;;Boruto Episode #275;Anime;Taira Kikumoto;;;Male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fukasaku;Naruto Chapter #375;Naruto Shippūden Episode #127;Anime, Manga, Game, Movie;Ikuo Nishikawa;Kirk Thornton , Kyle Hebert (Ultimate Ninja Heroes 3);May 9;Male;;25.mar;;;Toad Elder;Mount Myōboku, Konohagakure;;;Road to Ninja: Naruto the Movie;Naruto Shippūden: Ultimate Ninja Heroes 3;Naruto Shippūden: UNSG anime cutscenes;;Two Great Sage Toads;;;Shima (Wife);Wind Release, Water Release (Anime only), Yin Release;Demonic Illusion: Toad Confrontation Chant, Fighting Tongue Slash, Frog Kata, Reverse Summoning Technique, Sage Art: Amphibian Technique, Sage Art: Frog Call, Sage Art: Goemon, Sage Mode;Fūma Shuriken;;;Toad;Sage, Summon;;;;;;;
Fuki;Naruto Chapter #71;Naruto Episode #41;Anime, Manga;;Mary Elizabeth McGlynn;;Female;;;;;;Konohagakure;Part I: Academy Student;;;;;12;;;;;;;;;;;;;;;;;;
Fuki (Land of Sound);;Naruto Episode #213;Anime;Masayo Hosono;Dina Sherman;;Female;;;;;;Land of Sound;;;;;;;;;;;;;;;;;;;;;;;;
Fuku;;Naruto Episode #192;Anime;Ryōka Yuzuki;Wendee Lee;;Female;;;;;Princess;Land of Noodles;;;;;;;;;;Chikara (Fiancé);;;;;;;;;;;;;;
Fukuemon;Naruto Chapter #512;Naruto Shippūden Episode #254;Anime, Manga, Game;;;;Male;;;;;;Kumogakure;;;;Naruto Mobile;;8;;;;;;;;;;Owl;Summon;;;;;;;
Fukurokumaru;;;Game;;;;Female;;;;;Rich Field Proprietor;;;;;Naruto: Ultimate Ninja Online;;;;;;;Lightning Release;;;;;Cat;Summon;;;;;;;
Fukusuke Hikyakuya;;Naruto Episode #102;Anime;Hisao Egawa;David Earnest;;Male;;171;;;;Land of Tea;;;;;;;;;;;;;;;Wagarashi Family;;;;;;;;;
Fukuyokana;;Naruto Episode #174;Anime;Chafurin;Tony Oliver;;Male;Presumed Deceased;;;;Bandit;;;;;;;;;;;Shinayakana (Brother);;;;;;;;;;;;;;
Funamushi;;Boruto Episode #240;Anime;Takahiro Fujiwara;;;Male;Deceased;;;;Pirate;Land of Water;;;;;;;;;;Kobuna (Son);Water Release;Summoning Technique (Leech), Water Release: Blood Conversion Technique, Water Release: Furious Roaring Tornado, Water Release: Imminent Danger, Water Release: Jadeite, Water Release: Raging Jellyfish, Water Release: Water Formation Wall, Water Release: Water Spikes;Sword, Tantō;;Funato Clan;;;;;;;;;
Funari;Naruto Chapter #355;Naruto Shippūden Episode #122;Anime, Manga;Toshiharu Nakanishi;Derek Stephen Prince;;Male;;;;;Guard;;;;;;;30;;;;;;;Sword;;;;;;;;;;;
Funato Soldier Leader;;Boruto Episode #235;Anime;Akihiro Tajima;;;Male;;;;;Pirate, Soldier Leader;Land of Water;;;;;;;;;;;Water Release;Water Release: Jadeite, Water Release: Water Binding, Water Release: Water Current Bridge;;;Funato Clan;;;;;;;;;
Fundaru;Sasuke Retsuden Chapter #5;Boruto Episode #284;Anime, Manga, Novel;Shinnosuke Tachibana;;;Male;;;;;;Land of Redaku;;Sasuke Retsuden: The Uchiha Descendants and the Heavenly Stardust;;;;;;;;;;;;;;;;;;;;;;
Furofuki;;Naruto Shippūden Episode #186;Anime;Ikuko Watanabe;Colleen Villard;;Female;;;;;Herbologist;Konohagakure;;;;;;;;;;;;;;;;;Medical-nin;;;;;;;
Furui;Naruto Chapter #494;Naruto Shippūden Episode #244;Anime, Manga;Shinobu Matsumoto;Wally Wingert;;Male;Deceased;;;;;Kumogakure;Part II: Jōnin;;;;;35;Eight-Tails Subduing Team;;;Motoi (Son);Lightning Release (Anime only);;Kusari;;;;;;;;;;;
Fusō;Naruto Chapter #444;Naruto Shippūden Episode #172;Anime, Manga, Game;Toa Yukinari;Stephanie Sheh;;Female;Deceased;169;;;Nurse;Amegakure;;;;Naruto Shippūden: Ultimate Ninja Impact;;28;;;;Nagato (Son), Ise (Husband);;;;;Uzumaki Clan;;;;;;;;;
Futaba;Naruto Chapter #94;Naruto Episode #56;Anime, Manga;Yūko Gotō;Kate Higgins (Episode 56), Colleen OShaughnessey (Episode 158);;Female;;;;;;Konohagakure;Part I: Academy Student;;;;;9;;;;;;;;;;;;;;;;;;
Futami;;Naruto Shippūden Episode #464;Anime;Kenji Nojima;Lucien Dodge;;Male;Deceased;;;;Thief (Former), Ninshū Follower;Land of Ancestors;;;;;;;;;;;;Chakra Transfer Technique;;;;;;;;;;;;
Futsu;;Naruto Shippūden Episode #485;Anime, Novel;Kengo Kawanishi;Richard Cansino;;Male;;;;;;Kumogakure (Anime only), Konohagakure (Novel only);;Sasuke Shinden: Book of Sunrise;;;;;;;;;Boil Release, Fire Release, Water Release;Boil Release: Skilled Mist Technique;;Boil Release;;;;;;;;;;
Fuyō;;Naruto Shippūden Episode #395;Anime;Yurika Aizawa;Abby Trott;;Female;;147;;;;Amegakure;Part I: Genin, Part II: Chūnin;;;;;;Team Ajisai;;;;;Senbon Shower, Sensing Technique;Senbon, Umbrella;;;;Sensor Type;;;;;;;
Fū;Naruto Chapter #515;Naruto Shippūden Episode #205;Anime, Manga, Game;Ryōko Shiraishi;Kari Wahlgren;August 8;Female;Deceased;160;47.4;B;;Takigakure;Part I: Genin;;;Naruto Shippūden: Ultimate Ninja Storm 3;;;Team Fū (Anime only);;;;;Bug Bite, Cocoon (Anime only), Hiden: Hiding in Scale Powder Technique, Net-Shaped Prison (Anime only), Scale Powder, Takigakure Whirlwind (Anime only), Wave Transmission Technique (Anime only);;;;;Jinchūriki;;;;Chōmei (Forms);;;
Fū Yamanaka;Naruto Chapter #454;Naruto Shippūden Episode #198;Anime, Manga, Game;Manabu Sakamaki , Ryūichi Kijima (Child);Kirk Thornton;August 20;Male;Deceased;180;61.7;A;;Konohagakure, Root;Part II: Anbu;;;Naruto Shippūden: Ultimate Ninja Storm Generations;;19;;Torune Aburame;12337;;;Assassination Technique, Mind Body Switch Technique, Mind Puppet Switch Cursed Seal Technique, Sensing Technique;Kama, Kuwa, Tantō;;Yamanaka Clan;;Sensor Type;;;;;;;
Fūjin;;Naruto Episode #142;Anime;Hidenari Ugaki;Bob Joles;;Male;;201;;;;;;;;;;;Legendary Stupid Brothers;;;Raijin (Younger Brother);;;;;;;;;;;;;;
